Day,NumVehicles
2005-02-19,99149
2005-02-20,80211
2005-02-21,100679
2005-02-22,101775
2005-02-23,105425
2005-02-24,110215
2005-02-25,119054
2005-02-26,104493
2005-02-27,79274
2005-02-28,104728
2005-03-01,108108
2005-03-02,110717
2005-03-03,113472
2005-03-04,120868
2005-03-05,104436
2005-03-06,82377
2005-03-07,106022
2005-03-08,104966
2005-03-09,111765
2005-03-10,116027
2005-03-11,124189
2005-03-12,108370
2005-03-13,90511
2005-03-14,109599
2005-03-15,111848
2005-03-16,118230
2005-03-17,119382
2005-03-18,128255
2005-03-19,113087
2005-03-20,95270
2005-03-21,114051
2005-03-22,116986
2005-03-23,124493
2005-03-24,127354
2005-03-25,86171
2005-03-26,97296
2005-03-27,87922
2005-03-28,90481
2005-03-29,116328
2005-03-30,121326
2005-03-31,121118
2005-04-01,129009
2005-04-02,111132
2005-04-03,96227
2005-04-04,114573
2005-04-05,115811
2005-04-06,120461
2005-04-07,120288
2005-04-08,125310
2005-04-09,103944
2005-04-10,91469
2005-04-11,112007
2005-04-12,113554
2005-04-13,116409
2005-04-14,118531
2005-04-15,123488
2005-04-16,100044
2005-04-17,87253
2005-04-18,110889
2005-04-19,113771
2005-04-20,117451
2005-04-21,119250
2005-04-22,126197
2005-04-23,104666
2005-04-24,91595
2005-04-25,112708
2005-04-26,115921
2005-04-27,120044
2005-04-28,122071
2005-04-29,129401
2005-04-30,107166
2005-05-01,94934
2005-05-02,113264
2005-05-03,115493
2005-05-04,126497
2005-05-05,81910
2005-05-06,108995
2005-05-07,97762
2005-05-08,103213
2005-05-09,112913
2005-05-10,114948
2005-05-11,119588
2005-05-12,119355
2005-05-13,129633
2005-05-14,101264
2005-05-15,87722
2005-05-16,86177
2005-05-17,117634
2005-05-18,120835
2005-05-19,121769
2005-05-20,128446
2005-05-21,105411
2005-05-22,90105
2005-05-23,115380
2005-05-24,117490
2005-05-25,124565
2005-05-26,115479
2005-05-27,128042
2005-05-28,106940
2005-05-29,98251
2005-05-30,115084
2005-05-31,116572
2005-06-01,119382
2005-06-02,120566
2005-06-03,127596
2005-06-04,105138
2005-06-05,96391
2005-06-06,113115
2005-06-07,116348
2005-06-08,120433
2005-06-09,121204
2005-06-10,129282
2005-06-11,107096
2005-06-12,97622
2005-06-13,115042
2005-06-14,116187
2005-06-15,121635
2005-06-16,124340
2005-06-17,131031
2005-06-18,108944
2005-06-19,98758
2005-06-20,115087
2005-06-21,115261
2005-06-22,123895
2005-06-23,123366
2005-06-24,128982
2005-06-25,107271
2005-06-26,95851
2005-06-27,116698
2005-06-28,115929
2005-06-29,121116
2005-06-30,125353
2005-07-01,133250
2005-07-02,109585
2005-07-03,96375
2005-07-04,113769
2005-07-05,116471
2005-07-06,117421
2005-07-07,119848
2005-07-08,125162
2005-07-09,102040
2005-07-10,93008
2005-07-11,112064
2005-07-12,111813
2005-07-13,114745
2005-07-14,116090
2005-07-15,122300
2005-07-16,101013
2005-07-17,89492
2005-07-18,111071
2005-07-19,107705
2005-07-20,108943
2005-07-21,110562
2005-07-22,116944
2005-07-23,97075
2005-07-24,84374
2005-07-25,103595
2005-07-26,104704
2005-07-27,106882
2005-07-28,107520
2005-07-29,116673
2005-07-30,100699
2005-07-31,84502
2005-08-01,72614
2005-08-02,110359
2005-08-03,110603
2005-08-04,113722
2005-08-05,119009
2005-08-06,102012
2005-08-07,90521
2005-08-08,111027
2005-08-09,113565
2005-08-10,118494
2005-08-11,118515
2005-08-12,129253
2005-08-13,110948
2005-08-14,100364
2005-08-15,116032
2005-08-16,116287
2005-08-17,120706
2005-08-18,121582
2005-08-19,130141
2005-08-20,112162
2005-08-21,95294
2005-08-22,114273
2005-08-23,119640
2005-08-24,123666
2005-08-25,128274
2005-08-26,139840
2005-08-27,122379
2005-08-28,104101
2005-08-29,116825
2005-08-30,117562
2005-08-31,119893
2005-09-01,121723
2005-09-02,127877
2005-09-03,113551
2005-09-04,98545
2005-09-05,114681
2005-09-06,114318
2005-09-07,118455
2005-09-08,120824
2005-09-09,128273
2005-09-10,108605
2005-09-11,96555
2005-09-12,113244
2005-09-13,114575
2005-09-14,116712
2005-09-15,120260
2005-09-16,127790
2005-09-17,109287
2005-09-18,92052
2005-09-19,112624
2005-09-20,115000
2005-09-21,119110
2005-09-22,120223
2005-09-23,126570
2005-09-24,111370
2005-09-25,98189
2005-09-26,113779
2005-09-27,115827
2005-09-28,122445
2005-09-29,121893
2005-09-30,131419
2005-10-01,111808
2005-10-02,93627
2005-10-03,113190
2005-10-04,111446
2005-10-05,113284
2005-10-06,115066
2005-10-07,121956
2005-10-08,103183
2005-10-09,94668
2005-10-10,110714
2005-10-11,112019
2005-10-12,113990
2005-10-13,116613
2005-10-14,121966
2005-10-15,104734
2005-10-16,93587
2005-10-17,112944
2005-10-18,114643
2005-10-19,118033
2005-10-20,121717
2005-10-21,127012
2005-10-22,103776
2005-10-23,89657
2005-10-24,113247
2005-10-25,116713
2005-10-26,121010
2005-10-27,123814
2005-10-28,132332
2005-10-29,112413
2005-10-30,97626
2005-10-31,116393
2005-11-01,117629
2005-11-02,117854
2005-11-03,122053
2005-11-04,126866
2005-11-05,107386
2005-11-06,98226
2005-11-07,113398
2005-11-08,113682
2005-11-09,116443
2005-11-10,119386
2005-11-11,126650
2005-11-12,104646
2005-11-13,94424
2005-11-14,112165
2005-11-15,114296
2005-11-16,114690
