unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT
1.63305E+12,10-1-2021,XRP-USDT,0.9535,1.0695,0.9443,1.0422,644378881,652127951.3
1.63296E+12,9-30-2021,XRP-USDT,0.9266,0.964,0.9217,0.9533,332911904,314656116.1
1.63287E+12,9-29-2021,XRP-USDT,0.8928,0.9941,0.8861,0.9268,459660796,430499983.9
1.63279E+12,9-28-2021,XRP-USDT,0.9217,0.9431,0.8903,0.8928,313521537,289321906.2
1.6327E+12,9-27-2021,XRP-USDT,0.9436,0.9818,0.9194,0.9218,350234819,334311153.4
1.63261E+12,9-26-2021,XRP-USDT,0.9399,0.9567,0.8915,0.9436,384081774,356582690.4
1.63253E+12,9-25-2021,XRP-USDT,0.9442,0.9577,0.9163,0.94,347043937,326093439.8
1.63244E+12,9-24-2021,XRP-USDT,1.0016,1.0027,0.8858,0.944,605329486,566743451.8
1.63236E+12,9-23-2021,XRP-USDT,1.0033,1.017,0.9676,1.0016,409673892,406888652.9
1.63227E+12,9-22-2021,XRP-USDT,0.874,1.0094,0.8679,1.0033,606417695,574463634.3
1.63218E+12,9-21-2021,XRP-USDT,0.9216,0.9593,0.8582,0.8743,632313366.8,577784883
1.6321E+12,9-20-2021,XRP-USDT,1.0483,1.0497,0.8738,0.9216,837287959.7,792700101.4
1.63201E+12,9-19-2021,XRP-USDT,1.0752,1.0837,1.0383,1.0483,211015299,224922100.2
1.63192E+12,9-18-2021,XRP-USDT,1.0663,1.0952,1.0562,1.0751,195352031,210969782.1
1.63184E+12,9-17-2021,XRP-USDT,1.0903,1.1025,1.0509,1.0661,297933223,320042162.7
1.63175E+12,9-16-2021,XRP-USDT,1.1207,1.13,1.0662,1.0902,302954441,334126208.2
1.63166E+12,9-15-2021,XRP-USDT,1.0962,1.13,1.0784,1.1207,289063987,318565154.1
1.63158E+12,9-14-2021,XRP-USDT,1.0644,1.0978,1.0566,1.0963,275908113,296824863
1.63149E+12,9-13-2021,XRP-USDT,1.1181,1.1266,1.025,1.0643,510682363,542699043.4
1.6314E+12,9-12-2021,XRP-USDT,1.0788,1.1276,1.0576,1.1181,324049191,355164242.9
1.63132E+12,9-11-2021,XRP-USDT,1.0552,1.12,1.0503,1.0787,336502704,364352999.4
1.63123E+12,9-10-2021,XRP-USDT,1.0868,1.245,1.03,1.0552,901671116,1007065761
1.63115E+12,9-9-2021,XRP-USDT,1.0999,1.1377,1.0619,1.0868,604426508,668447113.2
1.63106E+12,9-8-2021,XRP-USDT,1.129,1.148,1.0133,1.0998,794455994,865948220.5
1.63097E+12,9-7-2021,XRP-USDT,1.3894,1.3922,0.9524,1.1292,1297978124,1530457369
1.63089E+12,9-6-2021,XRP-USDT,1.3075,1.4151,1.3065,1.3894,710855257.9,967534789.8
1.6308E+12,9-5-2021,XRP-USDT,1.2548,1.3125,1.2361,1.3076,335187953,427279714
1.63071E+12,9-4-2021,XRP-USDT,1.2906,1.2972,1.2352,1.2548,355870711,451197569.8
1.63063E+12,9-3-2021,XRP-USDT,1.2533,1.3235,1.2189,1.2907,526413570.1,674112638.9
1.63054E+12,9-2-2021,XRP-USDT,1.2362,1.295,1.2216,1.2533,501596506.8,632172811.4
1.63045E+12,9-1-2021,XRP-USDT,1.1856,1.2384,1.158,1.2362,469917987,563037891.1
1.63037E+12,8-31-2021,XRP-USDT,1.1005,1.2441,1.0907,1.1856,709823003.3,826987896.9
1.63028E+12,8-30-2021,XRP-USDT,1.1408,1.1488,1.0946,1.1002,364996870,411809728.9
1.6302E+12,8-29-2021,XRP-USDT,1.1458,1.1683,1.112,1.1408,313294895,357866960.9
1.63011E+12,8-28-2021,XRP-USDT,1.1918,1.198,1.1329,1.1459,314618250.8,364699164.6
1.63002E+12,8-27-2021,XRP-USDT,1.0713,1.1926,1.0501,1.1918,565739468.4,630214549.7
1.62994E+12,8-26-2021,XRP-USDT,1.1735,1.1866,1.0636,1.0712,569965192.9,633927173.7
1.62985E+12,8-25-2021,XRP-USDT,1.1353,1.1779,1.1073,1.1735,530858363,610817777.1
1.62976E+12,8-24-2021,XRP-USDT,1.2456,1.2658,1.1212,1.1353,637760055.9,762644112.7
1.62968E+12,8-23-2021,XRP-USDT,1.2258,1.3046,1.2024,1.2457,661403795.7,830621615.3
1.62959E+12,8-22-2021,XRP-USDT,1.2158,1.2557,1.1776,1.226,360176161.7,439116952.7
1.6295E+12,8-21-2021,XRP-USDT,1.2629,1.2835,1.2,1.2158,394160040.6,489884887.6
1.62942E+12,8-20-2021,XRP-USDT,1.2347,1.2897,1.1992,1.2629,594584554,740518731.3
1.62933E+12,8-19-2021,XRP-USDT,1.143,1.2355,1.0895,1.2347,723276976.3,833027094.6
1.62924E+12,8-18-2021,XRP-USDT,1.098,1.1963,1.0501,1.1431,870414538.3,973083354
1.62916E+12,8-17-2021,XRP-USDT,1.1855,1.2479,1.085,1.0978,893360572.4,1044647326
1.62907E+12,8-16-2021,XRP-USDT,1.2838,1.3288,1.1432,1.1855,912003805.5,1134779964
1.62899E+12,8-15-2021,XRP-USDT,1.2788,1.35,1.2252,1.2839,1155282514,1485993854
1.6289E+12,8-14-2021,XRP-USDT,1.0901,1.31,1.0691,1.2791,1408060485,1665378192
1.62881E+12,8-13-2021,XRP-USDT,0.9661,1.0968,0.9501,1.0901,674407528.3,696016980
1.62873E+12,8-12-2021,XRP-USDT,1.0106,1.045,0.9222,0.966,990869466.1,974967199.8
1.62864E+12,8-11-2021,XRP-USDT,0.8511,1.0906,0.848,1.0105,1131344974,1082107506
1.62855E+12,8-10-2021,XRP-USDT,0.8169,0.8622,0.8,0.8511,503252613.2,417292098.6
1.62847E+12,8-9-2021,XRP-USDT,0.7788,0.8279,0.7596,0.817,474908832.1,382110622.3
1.62838E+12,8-8-2021,XRP-USDT,0.8163,0.8413,0.7717,0.7788,556138875.8,447885548.6
1.62829E+12,8-7-2021,XRP-USDT,0.7474,0.8189,0.7411,0.8162,589624594.7,463343332.7
1.62821E+12,8-6-2021,XRP-USDT,0.7327,0.753,0.7219,0.7474,304988991.9,225134914.5
1.62812E+12,8-5-2021,XRP-USDT,0.731,0.7389,0.701,0.7327,331894003.6,239492318.5
1.62804E+12,8-4-2021,XRP-USDT,0.7136,0.7398,0.6952,0.731,330543019,237584357.6
1.62795E+12,8-3-2021,XRP-USDT,0.738,0.745,0.7008,0.7136,398158150.6,285457695.7
1.62786E+12,8-2-2021,XRP-USDT,0.7242,0.774,0.715,0.738,410656081.9,305390858.8
1.62778E+12,8-1-2021,XRP-USDT,0.7461,0.7778,0.7042,0.7242,469477766.4,354676880.6
1.62769E+12,7-31-2021,XRP-USDT,0.7522,0.7591,0.7367,0.746,377281828.3,282409913.8
1.6276E+12,7-30-2021,XRP-USDT,0.7488,0.7697,0.7115,0.7521,604445794.9,447185226.7
1.62752E+12,7-29-2021,XRP-USDT,0.7327,0.7665,0.697,0.7488,513356476.9,368115400.9
1.62743E+12,7-28-2021,XRP-USDT,0.645,0.7549,0.6308,0.7327,1172622702,832092412.3
1.62734E+12,7-27-2021,XRP-USDT,0.6234,0.6528,0.6121,0.6451,427078092,270446381.8
1.62726E+12,7-26-2021,XRP-USDT,0.6069,0.6793,0.6048,0.6234,803413949.2,521065033.9
1.62717E+12,7-25-2021,XRP-USDT,0.6085,0.6118,0.5906,0.6069,259034501.2,155812116.9
1.62708E+12,7-24-2021,XRP-USDT,0.6092,0.6205,0.5996,0.6085,319684922.3,194417445.8
1.627E+12,7-23-2021,XRP-USDT,0.592,0.6101,0.5753,0.6091,359561806.4,213508432
1.62691E+12,7-22-2021,XRP-USDT,0.5718,0.6033,0.5609,0.592,409238764.4,237900523.7
1.62683E+12,7-21-2021,XRP-USDT,0.5284,0.584,0.5193,0.5719,493423679.6,274778745.3
1.62674E+12,7-20-2021,XRP-USDT,0.557,0.5699,0.5157,0.5284,393704657.6,209159245.7
1.62665E+12,7-19-2021,XRP-USDT,0.5867,0.5889,0.5533,0.557,294780945.1,167395788.7
1.62657E+12,7-18-2021,XRP-USDT,0.5822,0.6016,0.571,0.5866,241849135.7,142185627.4
1.62648E+12,7-17-2021,XRP-USDT,0.5893,0.5977,0.56,0.5821,263418042.1,153250261
1.62639E+12,7-16-2021,XRP-USDT,0.5979,0.6211,0.5874,0.5893,282511701.9,169475844.8
1.62631E+12,7-15-2021,XRP-USDT,0.6196,0.6269,0.5874,0.5979,339655984.1,205379901.3
1.62622E+12,7-14-2021,XRP-USDT,0.6193,0.625,0.5851,0.6197,352306488.8,214004345.4
1.62613E+12,7-13-2021,XRP-USDT,0.6288,0.6426,0.6086,0.6192,315648113.8,197239801.1
1.62605E+12,7-12-2021,XRP-USDT,0.6363,0.6575,0.6172,0.6288,356848392,227368047.1
1.62596E+12,7-11-2021,XRP-USDT,0.6246,0.6449,0.6169,0.6364,201320995.4,126735758.3
1.62588E+12,7-10-2021,XRP-USDT,0.6369,0.6489,0.612,0.6246,279711260.1,175168807.4
1.62579E+12,7-9-2021,XRP-USDT,0.6214,0.6457,0.5917,0.6369,358836803.7,222783584.3
1.6257E+12,7-8-2021,XRP-USDT,0.6521,0.6545,0.6108,0.6215,430925669.2,270371824.2
1.62562E+12,7-7-2021,XRP-USDT,0.6648,0.674,0.65,0.6522,284356433.4,189337257.9
1.62553E+12,7-6-2021,XRP-USDT,0.6526,0.68,0.6511,0.6648,356111895.9,237002304.3
1.62544E+12,7-5-2021,XRP-USDT,0.696,0.697,0.6444,0.6526,407839477.9,272157623.9
1.62536E+12,7-4-2021,XRP-USDT,0.6733,0.7091,0.6655,0.696,334071078.8,231043551.5
1.62527E+12,7-3-2021,XRP-USDT,0.6557,0.6849,0.6433,0.6732,329367273.7,220039385.5
1.62518E+12,7-2-2021,XRP-USDT,0.6592,0.6676,0.6329,0.6556,387562387.6,250197212.5
1.6251E+12,7-1-2021,XRP-USDT,0.7062,0.7064,0.644,0.6591,463328799.3,308347617.6
1.62501E+12,6-30-2021,XRP-USDT,0.7062,0.7145,0.6477,0.7063,634287485.2,430338352.9
1.62492E+12,6-29-2021,XRP-USDT,0.6444,0.734,0.6417,0.7063,718445315.3,499125657.5
1.62484E+12,6-28-2021,XRP-USDT,0.6483,0.6583,0.6238,0.6444,460033268.3,295080578.9
1.62475E+12,6-27-2021,XRP-USDT,0.6163,0.6523,0.5963,0.6484,472483880.8,291546470
1.62467E+12,6-26-2021,XRP-USDT,0.611,0.6329,0.5814,0.6162,548990505.6,331034642.9
1.62458E+12,6-25-2021,XRP-USDT,0.6731,0.6889,0.6019,0.6111,795450033.5,507757434.4
1.62449E+12,6-24-2021,XRP-USDT,0.6383,0.6928,0.6163,0.6731,633338243.2,414531257
1.62441E+12,6-23-2021,XRP-USDT,0.5468,0.6655,0.5203,0.6383,1167774272,718902393.4
1.62432E+12,6-22-2021,XRP-USDT,0.6068,0.65,0.509,0.5468,1611548013,924711210.1
1.62423E+12,6-21-2021,XRP-USDT,0.7741,0.7803,0.6037,0.6067,1073284196,726811232.2
1.62415E+12,6-20-2021,XRP-USDT,0.7583,0.785,0.6968,0.7741,589364804.5,434933509.6
1.62406E+12,6-19-2021,XRP-USDT,0.7971,0.8055,0.7557,0.7582,317290687.1,250165846
1.62397E+12,6-18-2021,XRP-USDT,0.8419,0.845,0.7687,0.7972,389494745.9,315203423.8
1.62389E+12,6-17-2021,XRP-USDT,0.8319,0.8612,0.8234,0.8419,315642616.2,266502679.9
1.6238E+12,6-16-2021,XRP-USDT,0.8663,0.8733,0.8259,0.832,380134518.7,321967166.7
1.62372E+12,6-15-2021,XRP-USDT,0.8905,0.9017,0.8551,0.8663,367733720,323448196.8
1.62363E+12,6-14-2021,XRP-USDT,0.8833,0.93,0.8628,0.8906,441724628.6,391647479.3
1.62354E+12,6-13-2021,XRP-USDT,0.8325,0.8883,0.817,0.8832,344882480.1,292933567.3
1.62346E+12,6-12-2021,XRP-USDT,0.8469,0.8479,0.8054,0.8326,375425465.1,309940575.9
1.62337E+12,6-11-2021,XRP-USDT,0.8686,0.88,0.8335,0.8471,384826199.1,330610541.8
1.62328E+12,6-10-2021,XRP-USDT,0.9218,0.9298,0.8522,0.8686,592646634.4,524032840.3
1.6232E+12,6-9-2021,XRP-USDT,0.873,0.9218,0.83,0.9218,798994471.7,695183593
1.62311E+12,6-8-2021,XRP-USDT,0.8619,0.8861,0.7838,0.8731,989287175.7,838984629.2
1.62302E+12,6-7-2021,XRP-USDT,0.9469,0.976,0.838,0.8618,673906993.5,623660636.7
1.62294E+12,6-6-2021,XRP-USDT,0.923,0.9493,0.917,0.947,395443235.7,369842230.8
1.62285E+12,6-5-2021,XRP-USDT,0.9683,0.9973,0.8921,0.923,621966894.8,590664198.3
1.62276E+12,6-4-2021,XRP-USDT,1.0453,1.0466,0.9156,0.9683,814525376.3,785851513.1
1.62268E+12,6-3-2021,XRP-USDT,1.0241,1.0789,1.0069,1.045,701176435.1,727545024
1.62259E+12,6-2-2021,XRP-USDT,1.0108,1.0498,0.9793,1.0241,673790276.5,686061395.1
1.62251E+12,6-1-2021,XRP-USDT,1.0409,1.1,0.9742,1.0108,1130390773,1161830746
1.62242E+12,5-31-2021,XRP-USDT,0.9058,1.0495,0.8789,1.0409,1221688769,1196677931
1.62233E+12,5-30-2021,XRP-USDT,0.8319,0.9337,0.7974,0.9058,837581783.3,730804950.6
1.62225E+12,5-29-2021,XRP-USDT,0.8985,0.9413,0.7911,0.8318,980984330.4,845941030.5
1.62216E+12,5-28-2021,XRP-USDT,0.9747,0.9847,0.8445,0.8985,1220369622,1098606646
1.62207E+12,5-27-2021,XRP-USDT,1.0316,1.0423,0.9322,0.9747,997129594.4,986757435.6
1.62199E+12,5-26-2021,XRP-USDT,0.9747,1.0698,0.9461,1.0316,1160288120,1170818021
1.6219E+12,5-25-2021,XRP-USDT,0.9934,1.07,0.8791,0.9746,1654728050,1594338434
1.62181E+12,5-24-2021,XRP-USDT,0.7899,0.997,0.7537,0.993,1613054854,1380671269
1.62173E+12,5-23-2021,XRP-USDT,0.9052,0.9679,0.65,0.7898,1976494217,1525740499
1.62164E+12,5-22-2021,XRP-USDT,1.0062,1.0162,0.816,0.9052,1478148767,1344592321
1.62156E+12,5-21-2021,XRP-USDT,1.1802,1.2194,0.8641,1.0062,1813489499,1910760508
1.62147E+12,5-20-2021,XRP-USDT,1.0565,1.2664,0.9,1.1795,1974341688,2249207334
1.62138E+12,5-19-2021,XRP-USDT,1.5893,1.6448,0.85,1.0568,3180237280,4014465848
1.6213E+12,5-18-2021,XRP-USDT,1.4952,1.705,1.4698,1.5889,1813933408,2869966241
1.62121E+12,5-17-2021,XRP-USDT,1.4496,1.565,1.3242,1.4946,1560737400,2285970918
1.62112E+12,5-16-2021,XRP-USDT,1.4911,1.6131,1.3373,1.4496,1498147986,2246034546
1.62104E+12,5-15-2021,XRP-USDT,1.3998,1.5869,1.3211,1.4904,1495464770,2182427861
1.62095E+12,5-14-2021,XRP-USDT,1.3644,1.4488,1.321,1.4,772801586.8,1068218576
1.62086E+12,5-13-2021,XRP-USDT,1.269,1.389,1.2,1.364,1308704814,1704562074
1.62078E+12,5-12-2021,XRP-USDT,1.4788,1.547,1.235,1.2691,1028881609,1466457938
1.62069E+12,5-11-2021,XRP-USDT,1.391,1.4905,1.3555,1.4786,724101053.9,1034939728
1.6206E+12,5-10-2021,XRP-USDT,1.5343,1.627,1.214,1.3906,1154086820,1710822393
1.62052E+12,5-9-2021,XRP-USDT,1.5611,1.5968,1.4249,1.5345,726954201.3,1101438306
1.62043E+12,5-8-2021,XRP-USDT,1.5795,1.6277,1.5404,1.5611,514586255.4,813345139.9
1.62035E+12,5-7-2021,XRP-USDT,1.6028,1.695,1.505,1.5793,894697893.7,1424596625
1.62026E+12,5-6-2021,XRP-USDT,1.6137,1.7658,1.521,1.6028,1507415093,2502923635
1.62017E+12,5-5-2021,XRP-USDT,1.3878,1.624,1.366,1.6133,1261641295,1919965081
1.62009E+12,5-4-2021,XRP-USDT,1.5546,1.558,1.32,1.3877,1375223309,1969497041
1.62E+12,5-3-2021,XRP-USDT,1.5605,1.6216,1.47,1.5546,670988111.7,1056220071
1.61991E+12,5-2-2021,XRP-USDT,1.651,1.658,1.525,1.5605,602425194.4,951116358.7
1.61983E+12,5-1-2021,XRP-USDT,1.5989,1.6666,1.5226,1.651,701328204.7,1113456411
1.61974E+12,4-30-2021,XRP-USDT,1.3978,1.6397,1.3745,1.5988,1429394131,2214906822
1.61965E+12,4-29-2021,XRP-USDT,1.3576,1.42,1.3263,1.3978,824625421.1,1140421598
1.61957E+12,4-28-2021,XRP-USDT,1.4017,1.4492,1.2814,1.3576,1092879174,1485523115
1.61948E+12,4-27-2021,XRP-USDT,1.3629,1.462,1.3284,1.4017,1510880107,2118259482
1.6194E+12,4-26-2021,XRP-USDT,1.0353,1.375,1.0133,1.3629,1871916063,2295854108
1.61931E+12,4-25-2021,XRP-USDT,1.04971,1.156,0.9418,1.0351,1026066204,1083686711
1.61922E+12,4-24-2021,XRP-USDT,1.17019,1.172,1.01753,1.04833,1120813592,1223943585
1.61914E+12,4-23-2021,XRP-USDT,1.15489,1.19724,0.88601,1.17073,2651341964,2842229472
1.61905E+12,4-22-2021,XRP-USDT,1.2911,1.41947,1.0859,1.15489,1771540958,2272197865
1.61896E+12,4-21-2021,XRP-USDT,1.385,1.4645,1.27545,1.29097,1301403506,1787718097
1.61888E+12,4-20-2021,XRP-USDT,1.30941,1.44796,1.18,1.38501,1522196294,1998260575
1.61879E+12,4-19-2021,XRP-USDT,1.40797,1.5339,1.251,1.30945,1608073829,2226346360
1.6187E+12,4-18-2021,XRP-USDT,1.53988,1.56505,1.16,1.40797,2048345302,2726554646
1.61862E+12,4-17-2021,XRP-USDT,1.54805,1.74163,1.52991,1.53896,1108826380,1795844763
1.61853E+12,4-16-2021,XRP-USDT,1.75781,1.81041,1.42,1.54805,1805450665,2928098754
1.61844E+12,4-15-2021,XRP-USDT,1.83396,1.885,1.65243,1.75781,1124377880,1972494342
1.61836E+12,4-14-2021,XRP-USDT,1.79607,1.96689,1.56001,1.83468,2119704175,3790184504
1.61827E+12,4-13-2021,XRP-USDT,1.4685,1.88888,1.41778,1.79611,2515240116,4232702000
1.61819E+12,4-12-2021,XRP-USDT,1.35118,1.475,1.31804,1.46843,1129501824,1551301547
1.6181E+12,4-11-2021,XRP-USDT,1.37215,1.5,1.305,1.35118,1972667902,2759553622
1.61801E+12,4-10-2021,XRP-USDT,1.01754,1.399,1.00617,1.3728,2713439020,3353669232
1.61793E+12,4-9-2021,XRP-USDT,1.05571,1.0849,0.9808,1.01721,964539570.1,990383346
