Week,AInfluenza,AcuteBronchitis,BodyTemperature,BraunThermoscan,BreakAFever,Bronchitis,ChestCold,ColdAndFlu,ColdOrFlu,ColdVersusFlu,ColdVsFlu,ContagiousFlu,CoughFever,CureFlu,CureTheFlu,DangerousFever,DoIHaveTheFlu,EarThermometer,EarlyFluSymptoms,Expectorant,ExposedToFlu,FeverCough,FeverFlu,FeverReducer,FightTheFlu,FluAndCold,FluAndFever,FluCare,FluChildren,FluComplications,FluContagiousPeriod,FluContagious,FluCough,FluDuration,FluFever,FluGerms,FluHeadache,FluHowLong,FluInChildren,FluIncubationPeriod,FluIncubation,FluLasts,FluLength,FluMedicine,FluOrCold,FluRecovery,FluRelief,FluRemedies,FluRemedy,FluReport,FluReports,FluSymptoms,FluTest,FluTreatment,FluTreatments,FluVersusCold,FluVsCold,GetOverTheFlu,GetRidOfTheFlu,HavingTheFlu,HighFever,HowLongContagious,HowLongDoesFluLast,HowLongDoesTheFluLast,HowLongFlu,HowLongIsFluContagious,HowLongIsTheFluContagious,HowLongIsTheFlu,HowToGetRidOfTheFlu,HowToTreatFlu,HowToTreatTheFlu,HumanTemperature,IHaveTheFlu,IncubationPeriodForFlu,IncubationPeriodForTheFlu,InfluenzaAAndB,InfluenzaA,InfluenzaContagious,InfluenzaIncubationPeriod,InfluenzaIncubation,InfluenzaSymptoms,InfluenzaTreatment,InfluenzaTypeA,IsFluContagious,LowBody,MedicineForFlu,MedicineForTheFlu,NormalBodyTemperature,NormalBody,Oscillococcinum,OverTheCounterFluMedicine,OverTheCounterFlu,PainfulCough,Pneumonia,RapidFlu,ReduceAFever,ReduceFever,RemediesForFlu,RemediesForTheFlu,RespiratoryFlu,Robitussin,SignsOfFlu,SignsOfTheFlu,SinusInfections,Sinus,StrepThroat,Strep,SymptomsOfBronchitis,SymptomsOfFlu,SymptomsOfInfluenza,SymptomsOfPneumonia,SymptomsOfTheFlu,TakingTemperature,Tessalon,TheFluVirus,TheFlu,Thermoscan,TreatFlu,TreatTheFlu,TreatingFlu,TreatingTheFlu,TreatmentForFlu,TreatmentForTheFlu,Tussin,Tussionex,TypeAInfluenza,UpperRespiratory,WalkingPneumonia,WhatToDoIfYouHaveTheFlu,FluVisits
2009-11-23/2009-11-29,18,32,61,45,15,41,30,23,26,42,31,17,29,5,7,28,23,56,17,50,22,29,33,19,17,23,49,21,22,16,39,17,40,33,33,22,32,21,22,17,14,28,14,12,26,31,20,23,28,8,3,11,11,13,15,42,31,10,19,13,44,24,19,11,21,13,8,9,22,23,12,69,26,11,15,12,18,4,6,6,11,25,14,14,68,19,15,52,57,56,28,20,18,54,19,35,26,14,9,14,43,15,10,59,54,43,47,42,11,10,36,10,45,26,11,8,62,21,15,23,31,14,18,43,49,14,43,43,28,965
2009-11-30/2009-12-06,16,38,61,45,11,44,35,27,28,30,30,12,18,5,6,28,15,49,18,58,13,18,27,17,26,27,32,18,22,17,31,12,26,27,27,13,24,17,20,13,9,12,14,15,28,14,17,22,18,4,3,9,8,11,14,30,30,9,12,11,35,17,21,13,17,10,8,12,11,18,19,64,20,9,15,4,16,4,8,7,14,22,16,11,69,20,17,56,65,46,16,14,26,56,17,25,22,16,14,10,46,14,16,66,63,49,53,42,9,18,40,9,43,40,10,8,49,17,24,12,11,15,26,47,55,16,53,53,22,595
2009-12-07/2009-12-13,11,36,56,48,11,39,29,25,18,22,29,9,25,3,3,12,10,51,10,51,9,25,23,13,8,25,33,14,14,11,16,9,26,19,23,20,22,12,15,8,6,32,15,15,18,15,21,17,24,4,2,7,5,9,14,22,29,7,17,14,33,13,14,7,12,4,3,8,11,14,9,67,15,6,6,12,11,2,7,6,8,18,14,5,70,16,12,45,54,38,14,7,21,51,10,28,23,17,17,8,42,10,10,66,59,46,51,37,7,11,35,8,35,37,9,6,45,12,9,14,16,11,12,45,57,14,37,51,7,442
2009-12-14/2009-12-20,9,42,53,29,9,37,36,21,23,18,23,10,18,4,8,21,14,44,9,56,6,18,21,14,18,21,28,14,15,9,21,10,21,18,21,6,18,12,15,7,5,11,7,13,23,9,9,15,22,3,1,6,4,10,11,18,23,6,7,17,37,16,10,7,12,7,3,9,12,13,17,47,19,3,10,8,9,2,7,4,8,17,12,8,58,10,8,39,46,30,15,8,19,50,7,24,14,16,16,8,36,7,4,73,60,48,51,31,6,12,34,7,32,33,10,6,35,15,14,10,21,9,15,41,54,12,38,46,13,436
2009-12-21/2009-12-27,5,33,46,52,14,35,35,22,22,25,23,12,26,3,3,23,7,43,11,62,9,26,18,16,8,23,25,13,13,17,22,12,20,24,18,7,22,11,14,6,5,10,10,13,22,4,25,18,15,2,1,6,3,9,5,25,23,11,13,7,38,20,12,7,11,9,8,13,17,17,19,36,13,4,6,5,5,5,7,5,8,9,4,9,61,13,5,35,44,33,13,11,17,45,5,28,20,22,20,11,37,9,10,76,60,46,47,32,5,8,28,5,31,38,3,4,49,18,18,10,17,10,16,38,60,4,37,47,14,405
2009-12-28/2010-01-03,5,48,48,32,9,42,45,24,26,24,29,10,27,4,5,15,9,41,10,54,8,27,18,14,11,24,35,10,9,12,16,10,18,22,18,15,26,10,11,7,5,20,12,11,26,20,21,22,23,2,3,6,3,11,3,24,29,16,12,8,37,17,13,10,10,5,5,7,10,14,11,41,15,7,10,5,5,2,4,3,7,4,4,7,70,13,8,40,46,35,19,12,20,53,7,25,11,18,12,10,45,9,10,89,73,48,49,40,5,6,40,6,38,38,5,4,32,16,10,11,21,9,9,51,87,4,41,48,19,344
2010-01-04/2010-01-10,5,31,57,45,12,43,41,29,20,22,23,9,20,4,5,18,10,32,16,57,4,20,15,18,14,29,20,9,11,6,15,9,17,17,15,4,19,8,11,5,4,12,9,11,20,16,25,18,15,2,1,5,3,9,8,22,23,6,10,13,36,16,11,6,8,5,6,6,7,15,12,54,17,3,5,6,5,4,5,5,9,19,10,6,68,15,9,44,49,34,13,14,18,56,7,18,17,22,17,8,46,7,7,99,74,46,50,40,5,11,41,6,29,39,7,5,44,14,14,16,13,10,20,49,66,10,48,62,15,276
2010-01-11/2010-01-17,7,27,58,64,13,38,36,18,15,15,14,8,19,3,6,13,11,42,7,49,4,19,12,16,12,18,16,5,8,7,9,8,14,17,12,20,15,8,10,4,3,12,8,10,15,11,15,15,16,3,1,4,3,8,5,15,14,11,9,13,33,16,12,4,8,4,5,7,17,11,11,61,9,4,11,10,7,2,5,4,6,11,9,6,68,11,17,45,57,25,8,10,31,50,7,20,20,13,5,8,39,5,7,91,67,47,49,38,4,7,33,4,38,31,7,4,41,9,12,13,11,9,19,30,53,9,39,49,11,280
2010-01-18/2010-01-24,7,26,50,31,10,37,29,15,15,9,14,7,23,3,6,25,7,62,12,48,9,23,14,17,9,15,16,6,7,5,9,8,15,15,14,11,14,8,9,4,3,8,4,8,15,8,15,15,12,1,1,4,3,7,5,9,14,10,11,6,36,15,8,4,8,5,3,6,5,16,16,53,9,4,9,5,7,2,3,5,5,9,4,4,72,8,8,39,49,27,34,10,23,49,3,9,17,10,15,7,39,5,7,79,61,48,53,36,4,5,35,4,31,37,5,3,31,11,18,12,13,6,9,32,56,4,39,46,18,261
2010-01-25/2010-01-31,7,37,58,59,15,39,31,16,17,8,14,5,27,2,4,27,7,55,6,43,5,28,14,15,5,16,16,6,7,5,4,5,15,12,14,8,17,7,8,3,3,12,5,9,17,5,23,16,15,1,1,4,2,7,7,8,14,10,9,9,35,15,7,8,7,3,3,5,9,8,11,65,8,2,5,4,7,2,6,5,9,13,9,4,70,10,10,44,57,27,5,11,20,52,7,24,20,17,9,9,36,4,3,81,65,52,54,40,4,4,37,4,42,31,5,3,43,10,12,7,13,7,12,32,49,9,37,51,7,238
2010-02-01/2010-02-07,8,35,58,50,10,41,37,19,14,14,18,7,26,2,5,23,7,40,4,41,6,26,10,14,7,19,12,6,6,8,10,7,11,10,10,8,12,6,8,3,2,13,3,8,14,12,9,13,13,2,2,3,3,7,8,14,18,6,14,8,36,15,7,4,6,4,2,5,11,10,7,70,11,2,3,10,8,2,4,2,10,28,6,5,75,17,19,45,60,29,12,10,15,61,9,32,19,13,11,3,43,5,5,81,68,54,58,38,3,19,40,4,36,30,6,3,48,11,7,8,16,7,13,43,54,6,36,51,9,263
2010-02-08/2010-02-14,6,40,57,29,12,43,32,20,15,16,19,6,21,3,5,24,6,42,8,50,4,21,12,14,6,21,17,5,7,4,9,6,15,20,12,6,18,7,7,3,2,10,5,11,15,9,18,16,10,2,1,3,2,7,7,16,19,10,11,13,38,17,8,4,7,3,2,4,14,15,13,55,7,2,6,10,6,2,3,5,8,8,9,3,69,14,15,41,61,21,5,7,22,57,6,21,23,10,13,6,39,4,6,91,67,56,58,42,3,13,44,4,28,36,6,3,31,11,10,10,9,4,10,37,63,9,46,53,10,262
2010-02-15/2010-02-21,6,49,56,50,13,44,40,16,10,8,16,7,23,3,4,25,5,58,6,53,7,23,12,15,10,16,17,6,5,6,16,7,9,11,12,12,17,7,7,2,2,8,7,10,10,8,28,15,15,1,2,3,3,7,8,8,16,15,8,10,35,17,9,7,7,4,3,5,11,7,10,60,7,2,3,4,6,2,3,4,6,9,13,5,77,8,10,38,60,22,13,7,23,60,4,26,19,15,9,11,42,5,4,100,73,56,59,50,3,5,38,4,29,34,7,3,36,7,13,16,19,8,19,42,52,13,45,53,11,275
2010-02-22/2010-02-28,7,42,57,50,10,48,38,17,15,9,14,5,21,2,5,28,7,39,4,57,6,21,11,12,14,17,22,5,5,5,7,5,13,10,11,4,14,6,5,3,2,13,8,10,15,10,18,12,9,3,1,3,2,5,6,9,14,13,11,9,37,16,9,4,6,2,2,3,8,7,5,52,8,3,3,9,7,2,3,10,8,19,10,3,70,13,14,41,58,21,14,9,15,59,13,19,22,12,6,4,36,5,4,91,72,60,62,48,3,8,42,4,32,40,6,3,43,6,3,7,6,6,15,40,47,10,46,52,7,287
2010-03-01/2010-03-07,10,40,56,53,17,44,30,15,12,22,17,6,22,2,4,23,6,57,8,47,7,22,11,9,8,15,19,5,5,2,5,6,10,13,11,8,12,6,7,2,2,15,5,6,12,9,14,14,13,3,1,3,2,6,7,22,17,11,7,10,40,17,6,3,6,3,3,6,9,8,7,50,7,1,9,12,10,2,6,5,7,20,11,4,67,8,10,44,61,18,5,7,30,59,8,19,18,14,13,8,38,4,4,83,68,59,61,32,3,5,33,3,26,35,8,3,44,9,10,6,6,4,15,37,52,11,48,54,7,278
2010-03-08/2010-03-14,9,44,56,39,9,42,30,16,15,9,12,4,21,2,3,23,6,46,6,40,6,21,10,15,8,16,16,4,4,4,6,4,12,8,10,6,10,5,6,2,2,8,4,7,15,3,16,14,10,2,1,2,2,6,6,9,12,12,15,10,38,17,6,4,5,3,2,4,12,7,6,54,10,3,5,8,9,2,6,4,8,12,7,4,75,10,10,40,56,16,8,7,25,54,3,24,17,14,8,3,35,4,7,93,71,61,66,39,2,13,36,3,34,36,5,3,36,5,11,14,16,5,10,37,53,7,46,52,7,268
2010-03-15/2010-03-21,7,34,51,23,14,40,28,13,7,9,12,5,21,2,2,17,6,31,6,36,9,21,10,9,8,13,13,4,4,3,3,5,7,9,10,6,11,5,6,2,2,8,7,6,7,9,11,12,8,2,1,2,2,5,7,9,12,9,6,11,37,16,5,2,5,3,1,3,7,8,3,54,7,2,3,4,7,2,3,5,8,16,8,3,61,9,8,36,54,20,10,2,21,52,3,18,16,12,12,5,36,3,5,89,67,61,64,38,2,8,33,3,25,38,5,2,36,7,8,5,13,8,9,36,52,8,38,43,12,201
2010-03-22/2010-03-28,10,32,50,19,14,40,29,11,9,6,9,4,19,2,3,28,6,44,6,46,3,19,7,15,10,11,14,5,3,2,8,4,8,10,7,8,12,5,3,1,1,16,3,6,9,6,15,11,12,2,1,2,2,4,2,6,9,4,6,11,36,14,5,3,5,2,1,2,4,6,8,52,7,1,4,8,10,4,5,2,7,13,7,3,64,5,8,34,50,16,7,6,13,50,4,21,19,17,9,3,32,3,2,84,67,58,62,38,2,9,32,2,33,36,5,2,18,5,6,11,15,5,10,44,52,7,46,47,7,152
2010-03-29/2010-04-04,8,38,49,26,10,37,25,11,11,13,9,3,18,2,2,31,4,37,3,41,4,18,9,15,10,11,8,2,3,4,5,3,8,9,9,4,6,4,4,2,1,16,3,6,11,3,21,7,9,1,1,2,1,4,9,13,9,8,5,11,36,15,4,3,4,2,1,2,9,10,4,55,6,1,5,10,8,2,7,4,7,6,4,3,66,6,12,39,51,11,10,4,10,49,3,27,23,6,7,6,33,2,4,77,61,54,58,44,2,9,29,2,34,31,4,2,37,6,4,7,7,3,11,32,46,4,38,49,7,124
2010-04-05/2010-04-11,9,34,48,34,12,33,27,7,6,6,10,3,16,1,2,12,2,27,8,38,7,16,9,12,4,7,12,3,3,6,7,3,10,4,9,4,11,4,4,1,1,8,3,3,6,6,6,9,11,1,1,2,1,5,5,6,10,9,7,7,33,13,4,3,4,2,2,1,7,8,10,59,3,1,3,12,9,2,3,2,6,19,10,3,59,4,4,32,55,11,7,5,13,43,7,9,17,6,7,5,30,2,3,69,59,52,57,31,1,11,27,2,29,35,5,2,29,5,10,4,7,4,9,33,45,10,40,43,7,93
2010-04-12/2010-04-18,8,31,47,18,9,32,22,8,4,10,7,3,14,2,2,22,2,27,2,32,4,14,6,9,5,8,12,2,2,3,4,3,8,6,6,6,4,4,4,1,1,8,5,4,4,8,11,7,10,1,2,1,1,3,6,10,7,5,11,10,35,12,4,4,4,1,2,3,14,6,5,56,3,1,6,4,8,6,3,2,7,15,2,3,60,5,6,33,48,10,9,4,7,42,3,15,16,7,9,5,29,1,2,66,57,52,57,29,1,11,26,2,24,28,5,2,21,4,3,3,6,3,13,30,39,2,39,32,7,70
